Change	Time (sec)	Delay(uSec)	Angle(deg)	Error(arcsec)	
	310.358784	5489	13.03607472705052386201	6.87187721411051022054	0.00084821610901191110
	311.763968	5489	13.04194560323506918865	6.87495600198929809931	0.00051127764966065871
	313.169152	5489	13.04781651155421452314	6.87803478986808597851	0.00029002375034387056
	314.574336	5489	13.05368745202695375269	6.88111357774687385728	0.00018452278904225426
	315.979520	5489	13.05955842467227616486	6.88419236562566173605	0.00019484312720167091
	317.384704	5489	13.06542942950916649184	6.88727115350444961481	0.00032105310985613306
	318.789888	5489	13.07130046655660505703	6.89034994138323749358	0.00056322106616731879
	320.195072	5489	13.07717153583356755903	6.89342872926202537235	0.00092141530864744784
	321.600256	5489	13.08304263735902528160	6.89650751714081325112	0.00139570413392522383
	323.005440	5489	13.08891377115194500688	6.89958630501960112989	0.00198615582241318049
	324.410624	5489	13.09478493723128901885	6.90266509289838900909	0.00269283863833004500
	325.815808	5489	13.10065613561601520140	6.90574388077717688786	0.00351582083006414115
	327.220992	5490	13.10652736632507696889	6.90882266865596476662	0.00060465301233638920
	328.626432	5490	13.11239862937742328870	6.91190145653475264539	-0.00219007898100152299
	330.031872	5489	13.11826992479199874286	6.91498024441354052416	-0.00101778933189476604
	331.437056	5489	13.12414125258774348203	6.91805903229232840293	0.00027107252664316962
	332.842240	5489	13.13001261278359323333	6.92113782017111628213	0.00167657476322521465
	334.247424	5489	13.13588400539847944517	6.92421660804990416090	0.00319878553106438944
	335.652608	5490	13.14175543045132906958	6.92729539592869203966	0.00098725534961965311
	337.058048	5490	13.14762688796106480243	6.93037418380747991843	-0.00110743004183439230
	338.463488	5490	13.15349837794660490305	6.93345297168626779720	-0.00308520253755916408
	339.868928	5489	13.15936990042686335900	6.93653175956505567597	-0.00109547642964175811
	341.274112	5489	13.16524145542074984531	6.93961054744384355474	0.00101129873918172125
	342.679296	5489	13.17111304294716966814	6.94268933532263143350	0.00323519102801963275
	344.084480	5490	13.17698466302502386619	6.94576812320141931270	0.00172575086304253342
