Change	Time (sec)	Delay(uSec)	Angle(deg)	Error(arcsec)	
	1280.029184	5517	8.09796311071571743058	-0.00315396043966752106
	1281.441536	5517	8.10386409721660650601	-0.00290825335338300071
	1282.853888	5517	8.10976512820842498040	-0.00250237892125924345
	1284.266240	5517	8.11566620371027807289	-0.00193626836451812986
	1285.678592	5517	8.12156732374126896432	-0.00120985291169433144
	1287.090944	5517	8.12746848832049885968	-0.00032306379846199530
	1288.503296	5517	8.13336969746706695168	0.00072416773228139362
	1289.915648	5517	8.13927095120007050924	0.00193191043070573508
	1291.328000	5517	8.14517224953860475428	0.00330023303960104805
	1292.740352	5518	8.15107359250176300575	0.00097868667735113929
	1294.152960	5518	8.15697498010863656509	-0.00118214230979096713
	1295.565568	5518	8.16287641237831483598	-0.00318218519996727773
	1296.978176	5517	8.16877788932988520808	-0.00117085566101363173
	1298.390528	5517	8.17467941098243318018	0.00100139739729841424
	1299.802880	5517	8.18058097735504227005	0.00333464267563205969
	1301.215232	5518	8.18648258846679408203	0.00197843125020515617
	1302.627840	5518	8.19238424433676828626	0.00078334942538990428
	1304.040448	5518	8.19828594498404264294	-0.00025053411888125247
	1305.453056	5518	8.20418769042769297113	-0.00112315070965321245
	1306.865664	5518	8.21008948068679319035	-0.00183443168081403619
	1308.278272	5518	8.21599131578041532234	-0.00238430837309494639
	1309.690880	5518	8.22189319572762947023	-0.00277271213411505452
	1311.103488	5518	8.22779512054750383938	-0.00299957431833663419
	1312.516096	5518	8.23369709025910478592	-0.00306482628688062421
	1313.928704	5518	8.23959910488149672309	-0.00296839940786207764
	1315.341312	5518	8.24550116443374222358	-0.00271022505600998618
	1316.753920	5518	8.25140326893490200048	-0.00229023461276791488
	1318.166528	5518	8.25730541840403484653	-0.00170835946647290831
	1319.579136	5518	8.26320761286019774168	-0.00096453101200326906
	1320.991744	5518	8.26910985232244576983	-0.00005868065105250776
	1322.404352	5518	8.27501213680983220729	0.00100926020816697025
	1323.816960	5518	8.28091446634140845688	0.00223936015071141381
	1325.229568	5518	8.28681684093622406874	0.00363168775496722498
	1326.642176	5519	8.29271926061332679582	0.00133579397526122434
	1328.055040	5519	8.29862172539176253146	-0.00079773500560674176
	1329.467904	5519	8.30452423529057535100	-0.00276883062897467992
	1330.880768	5518	8.31042679032880752046	-0.00072690672511966890
	1332.293376	5518	8.31632939052549950525	0.00147758763407535345
	1333.705984	5518	8.32223203589968991631	0.00384472098759828927
	1335.118592	5519	8.32813472647041559867	0.00252404425053400216
	1336.531456	5519	8.33403746225671159323	0.00136614356659692439
	1337.944320	5519	8.33994024327761116280	0.00037108745552576906
	1339.357184	5519	8.34584306955214576783	-0.00046105556941491889
	1340.770048	5519	8.35174594109934506983	-0.00113021700144594427
	1342.182912	5519	8.35764885793823699735	-0.00163632834002187487
	1343.595776	5519	8.36355182008784766440	-0.00197932109114412723
	1345.008640	5519	8.36945482756720147456	-0.00215912676694724610
	1346.421504	5519	8.37535788039532100996	-0.00217567688614057911
	1347.834368	5519	8.38126097859122714574	-0.00202890297357219291
	1349.247232	5519	8.38716412217393898418	-0.00171873656047486919
	1350.660096	5519	8.39306731116247388934	-0.00124510918433751585
	1352.072960	5519	8.39897054557584748537	-0.00060795238891075781
	1353.485824	5519	8.40487382543307368077	0.00019280227587692525
	1354.898688	5519	8.41077715075316462504	0.00115722325375706516
	1356.311552	5519	8.41668052155513076763	0.00228537898235042884
	1357.724416	5519	8.42258393785798084238	0.00357733789309433762
	1359.137280	5520	8.42848739968072185012	0.00118265079364048150
	1360.550400	5520	8.43439090704235908992	-0.00104809627938325008
	1361.963520	5520	8.44029445996189619725	-0.00311483491288301218
	1363.376640	5519	8.44619805845833505030	-0.00116697908253630746
	1364.789504	5519	8.45210170255067589490	0.00094502199498290155
	1366.202368	5519	8.45800539225791722132	0.00322123671424607720
	1367.615232	5520	8.46390912759905591177	0.00181121584644718025
	1369.028352	5520	8.46981290859308713972	0.00056554539177873417
	1370.441472	5520	8.47571673525900439947	-0.00051570627317905353
	1371.854592	5520	8.48162060761579952861	-0.00143247077780019731
	1373.267712	5520	8.48752452568246270118	-0.00218467975745766023
	1374.680832	5520	8.49342848947798245360	-0.00277226485343949156
	1376.093952	5520	8.49933249902134563616	-0.00319515771306623406
	1377.507072	5520	8.50523655433153750842	-0.00345328998941697382
	1378.920192	5520	8.51114065542754163855	-0.00354659334163683532
	1380.333312	5520	8.51704480232833995891	-0.00347499943476925682
	1381.746432	5520	8.52294899505291281457	-0.00323843993957708421
	1383.159552	5520	8.52885323362023891648	-0.00283684653269352308
	1384.572672	5520	8.53475751804929531376	-0.00227015089675072757
	1385.985792	5520	8.54066184835905749251	-0.00153828471999403389
	1387.398912	5520	8.54656622456849929433	-0.00064117969659504611
	1388.812032	5520	8.55247064669659297007	0.00042123247355522404
	1390.225152	5520	8.55837511476230918157	0.00164902008482399398
	1391.638272	5520	8.56427962878461696179	0.00304225142574725714
	1393.051392	5521	8.57018418878248379976	0.00075047716171272894
	1394.464768	5521	8.57608879477487557469	-0.00137571681255227252
	1395.878144	5521	8.58199344678075656118	-0.00333626222565320420
	1397.291520	5520	8.58789814481908952461	-0.00128057319406674881
	1398.704640	5520	8.59380288890883560840	0.00094090092475072353
	1400.117760	5520	8.59970767906895440340	0.00332822838532066483
	1401.530880	5521	8.60561251531840395480	0.00203095981905538479
	1402.944256	5521	8.61151739767614072055	0.00089968108675711319
	1404.357632	5521	8.61742232616111965456	-0.00006553957372451958
	1405.771008	5521	8.62332730079229414256	-0.00086463393022574581
	1407.184384	5521	8.62923232158861601426	-0.00149753375613448082
	1408.597760	5521	8.63513738856903557972	-0.00196417083035677809
