Change	Time (sec)	Delay(uSec)	Angle(deg)	C length(cm)	Error(arcsec)	
	319.902976	5508	13.68595661824365420332	7.20896363636363637353	0.00077678333684027112
	321.313024	5508	13.69184768760013411627	7.21204242424242425230	-0.00002457089176131186
	322.723072	5508	13.69773878555642091914	7.21512121212121213107	-0.00072296581555624016
	324.133120	5508	13.70362991213857451964	7.21820000000000001027	-0.00131830761888348014
	325.543168	5508	13.70952106737263883913	7.22127878787878788903	-0.00181050254362270501
	326.953216	5508	13.71541225128464171288	7.22435757575757576780	-0.00219945688956328886
	328.363264	5508	13.72130346390059506267	7.22743636363636364657	-0.00248507701379490742
	329.773312	5508	13.72719470524649484824	7.23051515151515152534	-0.00266726933085289935
	331.183360	5508	13.73308597534832111494	7.23359393939393940411	-0.00274594031257849574
	332.593408	5508	13.73897727423203807013	7.23667272727272728287	-0.00272099648783089299
	334.003456	5508	13.74486860192359406144	7.23975151515151516164	-0.00259234444254875178
	335.413504	5508	13.75075995844892166181	7.24283030303030304084	-0.00235989081947624698
	336.823552	5508	13.75665134383393771109	7.24590909090909091961	-0.00202354231798416142
	338.233600	5508	13.76254275810454324666	7.24898787878787879838	-0.00158320569434383602
	339.643648	5508	13.76843420128662373245	7.25206666666666667715	-0.00103878776088575158
	341.053696	5508	13.77432567340604890969	7.25514545454545455591	-0.00039019538653624735
	342.463744	5508	13.78021717448867289844	7.25822424242424243468	0.00036266450353470051
	343.873792	5508	13.78610870456033429821	7.26130303030303031388	0.00121988492828526842
	345.283840	5508	13.79200026364685611243	7.26438181818181819265	0.00218155885053342605
	346.693888	5508	13.79789185177404583962	7.26746060606060607142	0.00324777917726163596
	348.103936	5509	13.80378346896769556264	7.27053939393939395019	0.00056812114240882053
	349.514240	5509	13.80967511525358186117	7.27361818181818182896	-0.00200680484077034619
	350.924544	5508	13.81556679065746593912	7.27669696969696970772	-0.00062638841437868224
	352.334592	5508	13.82145849520509366289	7.27977575757575758649	0.00085894548913996797
	353.744640	5508	13.82735022892219549622	7.28285454545454546526	0.00244928949945227409
	355.154688	5509	13.83324199183448667549	7.28593333333333334446	0.00029421857384108217
	356.564992	5509	13.83913378396766713334	7.28901212121212122323	-0.00175565715036540819
	357.975296	5509	13.84502560534742160187	7.29209090909090910200	-0.00370024520813057244
	359.385600	5508	13.85091745599941959535	7.29516969696969698076	-0.00168893557164476000
	360.795648	5508	13.85680933594931549171	7.29824848484848485953	0.00042784649729584606
	362.205696	5508	13.86270124522274852386	7.30132727272727273830	0.00265019329992526637
	363.615744	5509	13.86859318384534285693	7.30440606060606061750	0.00112767946566955234
	365.026048	5509	13.87448515184270756654	7.30748484848484849627	-0.00028908519523394893
	366.436352	5509	13.88037714924043676459	7.31056363636363637504	-0.00160000854397568389
	367.846656	5509	13.88626917606410951598	7.31364242424242425381	-0.00280499849592392833
	369.256960	5508	13.89216123233928997221	7.31672121212121213257	-0.00005344540256974530
	370.667008	5508	13.89805331809152733578	7.31980000000000001134	0.00280422509565248053
	372.077056	5509	13.90394543334635593743	7.32287878787878789011	0.00191758730476509306
	373.487360	5509	13.90983757812929526038	7.32595757575757576931	0.00113725071247110419
	374.897664	5509	13.91572975246584998980	7.32903636363636364808	0.00046330713564115449
	376.307968	5509	13.92162195638150996510	7.33211515151515152685	-0.00010415166230234297
	377.718272	5509	13.92751418990175033778	7.33519393939393940561	-0.00056503397081214369
	379.128576	5509	13.93340645305203152979	7.33827272727272728438	-0.00091924813237551011
	380.538880	5509	13.93929874585779922665	7.34135151515151516315	-0.00116670254252259776
	381.949184	5509	13.94519106834448451265	7.34443030303030304235	-0.00130730564934564493
	383.359488	5509	13.95108342053750385796	7.34750909090909092112	-0.00134096595355767622
	384.769792	5509	13.95697580246225911940	7.35058787878787879989	-0.00126759200847293468
	386.180096	5509	13.96286821414413762635	7.35366666666666667865	-0.00108709241970218219
	387.590400	5509	13.96876065560851217819	7.35674545454545455742	-0.00079937584516947192
	389.000704	5509	13.97465312688074106327	7.35982424242424243619	-0.00040435099503667226
	390.411008	5509	13.98054562798616817960	7.36290303030303031496	0.00009807336872702618
	391.821312	5509	13.98643815895012292461	7.36598181818181819373	0.00070798843195375331
	393.231616	5509	13.99233071979792039207	7.36906060606060607293	0.00142548532898419812
	394.641920	5509	13.99822331055486123244	7.37213939393939395170	0.00225065514215325332
	396.052224	5509	14.00411593124623184630	7.37521818181818183046	0.00318358890250843561
	397.462528	5510	14.01000858189730429934	7.37829696969696970923	0.00037385997191977267
	398.873088	5510	14.01590126253333643859	7.38137575757575758800	-0.00232792310380055359
	400.283648	5509	14.02179397317957183517	7.38445454545454546677	-0.00107115183022557664
	401.693952	5509	14.02768671386123987537	7.38753333333333334597	0.00029374700086225878
	403.104256	5509	14.03357948460355582310	7.39061212121212122474	0.00176686416441742451
	404.514560	5509	14.03947228543172078431	7.39369090909090910350	0.00334829038442289760
	405.924864	5510	14.04536511637092176859	7.39676969696969698227	0.00118759871654794760
	407.335424	5510	14.05125797744633169353	7.39984848484848486104	-0.00086460259914314540
	408.745984	5510	14.05715086868310950089	7.40292727272727273981	-0.00280822299045813411
	410.156544	5509	14.06304379010640006123	7.40600606060606061858	-0.00079265431829733473
	411.566848	5509	14.06893674174133432395	7.40908484848484849734	0.00133167627119394153
	412.977152	5509	14.07482972361302928435	7.41216363636363637655	0.00356485919919713141
	414.387456	5510	14.08072273574658800875	7.41524242424242425531	0.00205646721918656798
	415.798016	5510	14.08661577816709970044	7.41832121212121213408	0.00065710826985344521
	417.208576	5510	14.09250885089963972914	7.42140000000000001285	-0.00063312737746312959
	418.619136	5510	14.09840195396926963798	7.42447878787878789162	-0.00181414950121308573
	420.029696	5510	14.10429508740103715560	7.42755757575757577038	-0.00288586792957109471
	421.440256	5510	14.11018825121997631155	7.43063636363636364959	-0.00384819254003123585
	422.850816	5509	14.11608144545110740068	7.43371515151515152835	-0.00085051564196414888
	424.261120	5509	14.12197467011943696064	7.43679393939393940712	0.00225673517059597663
	425.671424	5510	14.12786792524995796959	7.43987272727272728589	0.00162313225480989858
	427.081984	5510	14.13376121086764970053	7.44295151515151516466	0.00109928315361711307
	428.492544	5510	14.13965452699747786698	7.44603030303030304343	0.00068527774359739985
	429.903104	5510	14.14554787366439458224	7.44910909090909092219	0.00038120585234937539
	431.313664	5510	14.15144125089333845303	7.45218787878787880096	0.00018715725886507771
	432.724224	5510	14.15733465870923453705	7.45526666666666668016	0.00010322169334546937
	434.134784	5510	14.16322809713699447474	7.45834545454545455893	0.00012948883770081577
	435.545344	5510	14.16912156620151640174	7.46142424242424243770	0.00026604832521523600
	436.955904	5510	14.17501506592768504341	7.46450303030303031647	0.00051298974090451522
	438.366464	5510	14.18090859634037179202	7.46758181818181819523	0.00087040262177887321
	439.777024	5510	14.18680215746443462957	7.47066060606060607400	0.00133837645657180958
	441.187584	5510	14.19269574932471819888	7.47373939393939395320	0.00191700068600287234
	442.598144	5510	14.19858937194605391034	7.47681818181818183197	0.00260636470314106102
	444.008704	5510	14.20448302535325982906	7.47989696969696971074	0.00340655785302744649
	445.419264	5511	14.21037670957114084323	7.48297575757575758951	0.00046715181569356601
	446.830080	5511	14.21627042462448861550	7.48605454545454546827	-0.00236124654131715116
	448.240896	5510	14.22216417053808160641	7.48913333333333334704	-0.00122803039796925830
	449.651456	5510	14.22805794733668514809	7.49221212121212122581	0.00001637178336224140
	451.062016	5510	14.23395175504505146252	7.49529090909090910458	0.00137204911067049810
	452.472576	5510	14.23984559368791965629	7.49836969696969698378	0.00283909064474817445
	453.883136	5511	14.24573946329001580303	7.50144848484848486255	0.00056706778188716402
	455.293952	5511	14.25163336387605291303	7.50452727272727274132	-0.00159341289350214380
	456.704768	5511	14.25752729547073101388	7.50760606060606062008	-0.00364226246132842709
	458.115584	5510	14.26342125809873717743	7.51068484848484849885	-0.00172887443055915164
	459.526144	5510	14.26931525178474547810	7.51376363636363637805	0.00029632240790298644
	460.936704	5510	14.27520927655341713945	7.51684242424242425682	0.00243341683445990655
	462.347264	5511	14.28110333242940042930	7.51992121212121213559	0.00083197996531745861
	463.758080	5511	14.28699741943733081840	7.52300000000000001436	-0.00065738189427193568
	465.168896	5511	14.29289153760183091191	7.52607878787878789312	-0.00203458010291927040
	466.579712	5511	14.29878568694751053876	7.52915757575757577189	-0.00329952606525077354
	467.990528	5510	14.30467986749896674211	7.53223636363636365066	-0.00060161361434206157
	469.401088	5510	14.31057407928078380015	7.53531515151515152943	0.00220872813564861860
	470.811648	5511	14.31646832231753333625	7.53839393939393940820	0.00128107002498946079
	472.222464	5511	14.32236259663377421318	7.54147272727272728740	0.00046601808316015975
	473.633280	5511	14.32825690225405270914	7.54455151515151516617	-0.00023633932324181684
	475.044096	5511	14.33415123920290239982	7.54763030303030304493	-0.00082591387334071724
	476.454912	5511	14.34004560750484431973	7.55070909090909092370	-0.00130261729141783297
	477.865728	5511	14.34594000718438690407	7.55378787878787880247	-0.00166636134710158663
	479.276544	5511	14.35183443826602602000	7.55686666666666668167	-0.00191705785527248801
	480.687360	5511	14.35772890077424509148	7.55994545454545456044	-0.00205461867560468692
	482.098176	5511	14.36362339473351493972	7.56302424242424243921	-0.00207895571313623672
	483.508992	5511	14.36951792016829403641	7.56610303030303031797	-0.00198998091737456333
	484.919808	5511	14.37541247710302833029	7.56918181818181819674	-0.00178760628290586443
	486.330624	5511	14.38130706556215142843	7.57226060606060607551	-0.00147174384873539291
	487.741440	5511	14.38720168557008453458	7.57533939393939395428	-0.00104230569854463448
	489.152256	5511	14.39309633715123649955	7.57841818181818183305	-0.00049920396045649329
